TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES,SKU
"Women's Pearl Choker Necklace, Sterling Silver Pearl Necklace, Bead Pearl Necklace","Pearl Choker Necklace 
â€¢  Baroque Pearl  
â€¢ .925 sterling silver 
â€¢ Lobster claw closure 

Measurements 
â€¢ 15, 17 or 19 inch necklace
â€¢ Adjustable 3 or 4 inch chain 
â€¢ Beads measure 4.5mm

*Necklace sizes are the total length; including the adjustable chain.

ðŸ’Ž Metaphysical Healing 
Pearls are an ancient amulet stone, which connects us with the feminine principal or the intuitive capabilities.

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of ourselves internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.**

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking the link below. 
ARTLESSessentials.etsy.com",33,USD,1,"Women's_Pearl_Choker,Necklace,Sterling_Silver,Pearl_Necklace,Beaded,Pearl,Necklaces,Gemstone_Choker,Rosary_Choker,White_Choker","Pearl,Stone",https://i.etsystatic.com/14453421/r/il/f1d1de/1909085307/il_fullxfull.1909085307_nz7j.jpg,https://i.etsystatic.com/14453421/r/il/ca8c09/2532671661/il_fullxfull.2532671661_lu55.jpg,https://i.etsystatic.com/14453421/r/il/ed74a1/1405820374/il_fullxfull.1405820374_280x.jpg,https://i.etsystatic.com/14453421/r/il/d2f845/1361384065/il_fullxfull.1361384065_59cl.jpg,,,,,,,Length,Necklace length,"15,17,19",,,,
"Men's Black Onyx Bead Necklace, Men's Black Bead Necklace, Black Onyx Jewelry","Black Onyx Bead Necklace 
â€¢ Black onyx 
â€¢ Sterling silver
â€¢ Stainless steel 
â€¢ Beads measure 6mm
â€¢ 24 and 30 inch necklace length 
â€¢ Strung on durable beading wire

*Please allow 1-3 days for your necklace to be made. 

 ðŸ’Ž Metaphysical Healing
 Black onyx is an ancient healing stone known for its protective energies of repelling negative vibrations. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry from my shop by clicking the link below.
ARTLESSessentials.etsy.com
I thank you kindly for stopping by!",66,USD,1,"Men's_Black_Onyx,Beaded_Necklace,Men's_Beaded,Necklaces,Black_Onyx_Jewelry,Black_Onyx_Necklace,For_Men,Spiritual_Jewelry,Spiritual_Bead,Necklace","Onyx,Gemstone",https://i.etsystatic.com/14453421/r/il/ace97e/1429267248/il_fullxfull.1429267248_3e9f.jpg,https://i.etsystatic.com/14453421/r/il/f977ca/1477282179/il_fullxfull.1477282179_hcr1.jpg,https://i.etsystatic.com/14453421/r/il/87d8e6/1428388204/il_fullxfull.1428388204_hd0k.jpg,,,,,,,,Length,Necklace length,"24,30",,,,
"Genuine Emerald Bracelet, May Birthstone Bracelet, Gold Emerald Bracelet","Natural Emerald Bracelet 

Details
â€¢ Genuine Emerald
â€¢ 14k Gold-filled | Chain extender
â€¢ Lobster clasp closure 
â€¢ Beads measure 4mm 

Choose between satin gold beading wire or stretch fiber options:
â€¢ The stretch/elastic fiber cord allows more flexibility, while the satin gold beading wire adds more structure to the bracelet. The elastic fiber cord option cost more because it requires more work to put the bracelet together. 

Metaphysical Healing ðŸ’Ž
Emerald strengthens our expression of love through enhancing communication and positive thinking. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. See FAQs for more info.**

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",55,USD,1,"Genuine_Emerald,Bracelet,May_Birthstone,Gold,Emerald_Bracelet","Emerald,Gemstone",https://i.etsystatic.com/14453421/r/il/05cb6e/1391632196/il_fullxfull.1391632196_7cxq.jpg,https://i.etsystatic.com/14453421/r/il/48c865/1384784738/il_fullxfull.1384784738_5fku.jpg,https://i.etsystatic.com/14453421/r/il/3db458/1438901219/il_fullxfull.1438901219_hcgf.jpg,,,,,,,,Material,Material,"Satin Gold,Stretch Fiber",Length,Bracelet length,"6,7,8,9",
"Men's Tiger Eye Bracelet, Tiger Eye Beaded Bracelet, Men's Gemstone Bracelet, Beaded Stretch Bracelet","Men's/Unisex Tiger's Eye Bracelet
â€¢ Tiger eye 
â€¢ Gold-plated hematite 
â€¢ Black onyx 
â€¢ 6 or 8mm bead measurement 
â€¢ Made using professional, durable stretch cord
    âˆ™ Model in photo has on 6mm beads

Metaphysical Healing ðŸ’Ž
Tiger Eye can help restore balance between self-confidence and humbleness. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.**

Browse other gemstone jewelry in the shop by clicking the link below. 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",29.99,USD,1,"Men's_Tiger_Eye,Bracelet,Men's_Bead_Bracelet,Genuine,Tiger_Eye_Bracelet,Tiger_Eye,Bead_Bracelet,Gemstone_Bracelet,For_Men",Gemstone,https://i.etsystatic.com/14453421/r/il/42a52a/1771788978/il_fullxfull.1771788978_toay.jpg,https://i.etsystatic.com/14453421/r/il/28dfe7/1313908745/il_fullxfull.1313908745_80g3.jpg,https://i.etsystatic.com/14453421/r/il/09fe50/1761751592/il_fullxfull.1761751592_jclk.jpg,,,,,,,,Custom Property,Bead Size,"6mm,8mm",Size,Size,"7,8,9,10",
"Chakra Healing Bracelets, Meditation Chakra Bracelet, Handmade Spiritual Bracelet","Focal Point Chakra Healing Bracelets 
â€¢ Made with natural gemstone beads 
â€¢ Rudraksha seed beads 
â€¢ Sterling silver 
â€¢ Beads measure ~6mm
â€¢ Made using professional, durable stretch cord

Each bracelet is made with green aventurine, clear quartz, red garnet, purple amethyst, turquoise, citrine and carnelian agate. 
These gemstones are connected to each of the 7 chakras. 

ðŸ’Ž Metaphysical Healing 
Chakras are energy channels, which influence the balance of your energy flow. This balance is connected to the functioning of your nervous system. More importantly, each chakras hold a specific spiritual concept and meaning which are significant to the spiritual healing process. 

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here:
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",22.99,USD,1,,Silver,https://i.etsystatic.com/14453421/r/il/b8afed/2468267558/il_fullxfull.2468267558_ej7q.jpg,https://i.etsystatic.com/14453421/r/il/cfff97/2514848405/il_fullxfull.2514848405_b3iy.jpg,https://i.etsystatic.com/14453421/r/il/2328d3/2468173270/il_fullxfull.2468173270_1eqy.jpg,https://i.etsystatic.com/14453421/r/il/2bc1c3/2532976934/il_fullxfull.2532976934_ac0i.jpg,https://i.etsystatic.com/14453421/r/il/84f638/2468298026/il_fullxfull.2468298026_d6u6.jpg,https://i.etsystatic.com/14453421/r/il/9746b0/2467172550/il_fullxfull.2467172550_1nip.jpg,https://i.etsystatic.com/14453421/r/il/c3b1b1/2580626443/il_fullxfull.2580626443_1gcx.jpg,,,,Gemstone type,Gemstone,"Root Chakra,Sacral Chakra,Solar Plexus Chakra,Heart Chakra,Throat Chakra,Third Eye Chakra,Crown Chakra",Length,Bracelet length,"6,7,8,9,10",
"Black Onyx Bracelet, Black Spinel Bracelet, Black Tourmaline Bracelet","Black & White Gemstone Bracelet 
â€¢ Black onyx, tourmaline or spinel beads w/ rainbow moonstone 
â€¢ Sterling silver 
â€¢ 4mm beads

Made on gold or sterling silver beading wire. 

ðŸ’Ž Metaphysical Healing
Black spinel, tourmaline and onyx are popular protection and grounding stones. Black onyx is most common in jewelry and helps with fear and insecurity. Black spinel is most rarely found, and helps with communication and inspiration. Black tourmaline is commonly used as an EMF protection stone. 

Moonstone reminds us to nurture our emotions and feelings in a healthy manner. 

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. See FAQ for more info.*

*Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.*",22,USD,1,"Black_Gemstone,Bracelet_For_Women,Black_Beaded,Black_Spinel",Gemstone,https://i.etsystatic.com/14453421/r/il/b4c764/3262345552/il_fullxfull.3262345552_2mgn.jpg,https://i.etsystatic.com/14453421/r/il/2263e5/3262345508/il_fullxfull.3262345508_bnz0.jpg,,,,,,,,,Gemstone type,Gemstone,"Onyx,Spinel,Tourmaline",Length,Bracelet length,"6,7,8,9,10",
"Lapis Lazuli Bead Bracelet, Sterling Silver Lapis Lazuli Bracelet, Lapis Lazuli Jewelry","Lapis Lazuli Bead Bracelet 
â€¢ Lapis Lazuli 
â€¢ Sterling silver 
â€¢ 4.5mm beads

Choose between satin silver beading wire or elastic fiber options:
â€¢ The elastic/stretch fiber cord allows more flexibility, while the satin silver beading wire adds more structure to the bracelet. The elastic fiber cord option cost more because it requires more work to put the bracelet together. 

ðŸ’Ž Metaphysical Healing
Lapis Lazuli is great for creative thought and protection against evil eye and psychic attack.

*Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.*

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. See FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com",24.99,USD,1,"Lapis_Lazuli_Bead,Bracelet,Sterling_Silver,Lapis_Lazuli,Beaded_Bracelet,Dainty,Bead,Stretch_Bracelet,Women's_Gemstone,Jewelry",Lapis lazuli,https://i.etsystatic.com/14453421/r/il/a6f7bd/3084012416/il_fullxfull.3084012416_9foe.jpg,https://i.etsystatic.com/14453421/r/il/97506d/1420468084/il_fullxfull.1420468084_mxf9.jpg,https://i.etsystatic.com/14453421/r/il/6ecc1e/1387889887/il_fullxfull.1387889887_l4kp.jpg,https://i.etsystatic.com/14453421/r/il/a48fd5/3066441358/il_fullxfull.3066441358_i2f4.jpg,,,,,,,Length,Bracelet length,"6,6.5,7,7.5,8,8.5,9,9.5,10",Material,Material,"Satin silver,Stretch fiber",
"Women's Labradorite Bracelet, Labradorite Bead Bracelet, Labradorite Sterling Silver Bracelet, Labradorite Jewelry","Labradorite Bead Bracelet   
â€¢ Labradorite 
â€¢ Sterling silver 
â€¢ 4.5mm beads

Choose between satin silver beading wire or elastic fiber options:
â€¢ The elastic/stretch fiber cord allows more flexibility, while the satin silver beading wire adds more structure to the bracelet. The elastic fiber cord option cost more because it requires more work to put the bracelet together. 

Metaphysical Healing ðŸ’Ž 
Labradorite is a self-healing, intuitive and meditation stone, which reminds us to find peace during stressful times.

*Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.*

*A portion of your purchase will be contributed towards Aid Africa, a charitable organization. Aid Africa helps to improve the lives of many women and their families by rebuilding sustainable communities in Sub-Saharan Africa. See FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com",30,USD,1,"Women's_Labradorite,Bracelet,Labradorite_Bead,Labradorite,Sterling_Silver,Genuine_Labradorite,Gemstone_Bracelet","Labradorite,Sterling Silver",https://i.etsystatic.com/14453421/r/il/01821d/3072653977/il_fullxfull.3072653977_hxy7.jpg,https://i.etsystatic.com/14453421/r/il/48acb8/1385840672/il_fullxfull.1385840672_s0md.jpg,https://i.etsystatic.com/14453421/r/il/d31c79/1444652347/il_fullxfull.1444652347_fg28.jpg,https://i.etsystatic.com/14453421/r/il/d59888/3057743064/il_fullxfull.3057743064_jnw2.jpg,,,,,,,Material,Material,"Satin Silver,Stretch Fiber",Length,Bracelet length,"6,6.5,7,7.5,8,8.5,9,9.5",
"Lapis Lazuli Bracelet, Men's Bracelet, Beaded Bracelet, Lapis Lazuli Jewelry","Lapis Lazuli Beaded Bracelet 

Details 
â€¢  Lapis lazuli 
â€¢  Black onyx
â€¢  Hematite
â€¢  Beads measure ~6mm

Metaphysical Healing ðŸ’Ž
Lapis Lazuli is great for creative thought and protection against evil eye and psychic attack. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",29.99,USD,1,"Men's_Lapis_Lazuli,Beaded_Bracelet,For_Men,Blue,Lapis_Lazuli,Bracelet,Lapis,Beaded_Bracelets,Lapis_Lazuli_Jewelry,Men's,Gemstone_Jewelry,Bead_Bracelets,Gemstone_Bracelet",Lapis lazuli,https://i.etsystatic.com/14453421/r/il/cb7f4e/1461988772/il_fullxfull.1461988772_cvhp.jpg,https://i.etsystatic.com/14453421/r/il/626326/1514942853/il_fullxfull.1514942853_2hmb.jpg,,,,,,,,,Size,Size,"7,8,9,10",,,,
