TITLE,ID,DESCRIPTION ,LINK,IMAGE LINK,PRICE,AVAILABILITY
"Women's Pearl Choker Necklace, Sterling Silver Pearl Necklace, Bead Pearl Necklace",PIN-101,"Freshwater Baroque Pearl Choker Necklace 
",https://www.etsy.com/listing/553805751/womens-pearl-choker-necklace-sterling,https://i.etsystatic.com/14453421/r/il/f1d1de/1909085307/il_fullxfull.1909085307_nz7j.jpg,33,IN STOCK
"Men's Black Onyx Bead Necklace, Men's Black Bead Necklace, Black Onyx Jewelry",PIN-101,Black Onyx Bead Necklace ,https://www.etsy.com/listing/578244474/mens-black-onyx-bead-necklace-mens-black,https://i.etsystatic.com/14453421/r/il/ace97e/1429267248/il_fullxfull.1429267248_3e9f.jpg,66,IN STOCK
"Genuine Emerald Bracelet, May Birthstone Bracelet, Gold Emerald Bracelet",PIN-102,Genuine Emerald Bead Bracelet With Vermeil Gold Chain,https://www.etsy.com/listing/544116413/genuine-emerald-bracelet-may-birthstone,https://i.etsystatic.com/14453421/r/il/05cb6e/1391632196/il_fullxfull.1391632196_7cxq.jpg,55,IN STOCK
"Men's Tiger Eye Bracelet, Tiger Eye Beaded Bracelet, Men's Gemstone Bracelet, Beaded Stretch Bracelet",PIN-103, Tiger Eye Bracelet With Black Onyx And Hematite ,https://www.etsy.com/listing/530762154/mens-tiger-eye-bracelet-tiger-eye-beaded,https://i.etsystatic.com/14453421/r/il/42a52a/1771788978/il_fullxfull.1771788978_toay.jpg,29.99,IN STOCK
"Chakra Healing Bracelets, Meditation Chakra Bracelet, Handmade Spiritual Bracelet",PIN-104,Chakra Healing Bead Bracelets,https://www.etsy.com/listing/854558569/chakra-healing-bracelets-meditation,https://i.etsystatic.com/14453421/r/il/b8afed/2468267558/il_fullxfull.2468267558_ej7q.jpg,22.99,IN STOCK
"Black Onyx Bracelet, Black Spinel Bracelet, Black Tourmaline Bracelet",PIN-105,Black Gemstone Bracelet With Rainbow Moonstone ,https://www.etsy.com/listing/546229419/black-onyx-bracelet-black-spinel,https://i.etsystatic.com/14453421/r/il/b4c764/3262345552/il_fullxfull.3262345552_2mgn.jpg,22,IN STOCK
"Lapis Lazuli Bead Bracelet, Sterling Silver Lapis Lazuli Bracelet, Lapis Lazuli Jewelry",PIN-106,Dainty Lapis Lazuli Bracelet With Sterling Silver ,https://www.etsy.com/listing/545378397/lapis-lazuli-bead-bracelet-sterling,https://i.etsystatic.com/14453421/r/il/a6f7bd/3084012416/il_fullxfull.3084012416_9foe.jpg,24.99,IN STOCK
"Women's Labradorite Bracelet, Labradorite Bead Bracelet, Labradorite Sterling Silver Bracelet, Labradorite Jewelry",PIN-107,Dainty Labradorite Bracelet With Sterling Silver,https://www.etsy.com/listing/537860051/womens-labradorite-bracelet-labradorite,https://i.etsystatic.com/14453421/r/il/01821d/3072653977/il_fullxfull.3072653977_hxy7.jpg,30,IN STOCK
"Lapis Lazuli Bracelet, Men's Bracelet, Beaded Bracelet, Lapis Lazuli Jewelry",PIN-108,Lapis Lazuli Bracelet ,https://www.etsy.com/listing/523843406/lapis-lazuli-bracelet-mens-bracelet,https://i.etsystatic.com/14453421/r/il/cb7f4e/1461988772/il_fullxfull.1461988772_cvhp.jpg,29.99,IN STOCK
"Ruby Birthstone Bracelet, Ruby Bead Bracelet For Women, Ruby Jewelry For Women",PIN-109,Genuine Ruby Bead Bracelet With Vermeil Gold Chain,https://www.etsy.com/listing/577045831/ruby-birthstone-bracelet-ruby-bead,https://i.etsystatic.com/14453421/r/il/23eeab/3105797510/il_fullxfull.3105797510_6efn.jpg,55,IN STOCK
"Red Tiger Eye Bracelet, Tiger Eye Bead Bracelet, Men's Tiger Eye Bracelet",PIN-110,Red Tiger Eye Bracelet With Sterling Silver Or Rose Gold ,https://www.etsy.com/listing/555209650/red-tiger-eye-bracelet-tiger-eye-bead,https://i.etsystatic.com/14453421/r/il/8b84be/3105820414/il_fullxfull.3105820414_abpc.jpg,24.99,IN STOCK
"Men's Tiger Eye Bead Necklace, Red Tiger Eye Beaded Necklace",PIN-111,Red Tiger Eye Necklace With Sterling Silver or Rose Gold ,https://www.etsy.com/listing/600500507/mens-tiger-eye-bead-necklace-red-tiger,https://i.etsystatic.com/14453421/r/il/f3146a/1499727251/il_fullxfull.1499727251_wgzd.jpg,66,IN STOCK
"Men's Hematite Bracelet, Beaded Hematite Bracelet, Gray Hematite Bracelet, Men's Beaded Bracelets",PIN-112,Hematite Bracelet ,https://www.etsy.com/listing/524444580/mens-hematite-bracelet-beaded-hematite,https://i.etsystatic.com/14453421/r/il/5f43ba/1909083509/il_fullxfull.1909083509_450y.jpg,24.99,IN STOCK
"Unakite Bracelet, Bead Bracelet, Gemstone Jewelry",PIN-113,Unakite Bracelet With Sterling Silver Or Rose Gold ,https://www.etsy.com/listing/537241433/unakite-bracelet-bead-bracelet-gemstone,https://i.etsystatic.com/14453421/r/il/597808/1322905560/il_fullxfull.1322905560_49h4.jpg,29.99,IN STOCK
"Citrine Gemstone Bracelet, November Birthstone Bracelet, Citrine Bead Bracelet",PIN-114,Citrine and Rutilated Quartz Bracelet With Hematite ,https://www.etsy.com/listing/524243698/citrine-gemstone-bracelet-november,https://i.etsystatic.com/14453421/r/il/bb56b0/3072660055/il_fullxfull.3072660055_d761.jpg,33,IN STOCK
Ethiopian Black Opal Gemstone Bracelet,PIN-115,Black Ethiopian Opal Bracelet With Sterling Silver Or Rose Gold ,https://www.etsy.com/listing/1012493745/ethiopian-black-opal-gemstone-bracelet,https://i.etsystatic.com/14453421/r/il/e02a13/3131732579/il_fullxfull.3131732579_7t80.jpg,55,IN STOCK
"Rainbow Moonstone Bracelet, Rainbow Moonstone Bead Bracelet, Men's Rainbow Moonstone Bracelet, Women's Rainbow Moonstone Bracelet",PIN-116,Rainbow Moonstone Bracelet With Hematite And Clear Quartz,https://www.etsy.com/listing/549851837/rainbow-moonstone-bracelet-rainbow,https://i.etsystatic.com/14453421/r/il/507b26/1374915317/il_fullxfull.1374915317_92lr.jpg,27.99,IN STOCK
"Peridot Bead Bracelet, Birthstone Bracelet, August Birthstone Jewelry, Bright Green Gemstone Bracelet",PIN-117,Peridot Bracelet With Sterling Silver ,https://www.etsy.com/listing/523860214/peridot-bead-bracelet-birthstone,https://i.etsystatic.com/14453421/r/il/875376/3072656019/il_fullxfull.3072656019_9bmd.jpg,44,IN STOCK
"Rainbow Moonstone Bracelet, Women's Moonstone Bracelet",PIN-118,Dainty Rainbow Moonstone Bracelet With Hematite ,https://www.etsy.com/listing/633175450/rainbow-moonstone-bracelet-womens,https://i.etsystatic.com/14453421/r/il/50d076/3153503805/il_fullxfull.3153503805_r86t.jpg,27.99,IN STOCK
"Men's Black Onyx Bracelet, Black Onyx Bead Bracelet, Black Onyx Jewelry",PIN-119,Black Onyx Bead Bracelet With Pyrite ,https://www.etsy.com/listing/540022577/mens-black-onyx-bracelet-black-onyx-bead,https://i.etsystatic.com/14453421/r/il/089ce3/2438629327/il_fullxfull.2438629327_r7rg.jpg,29.99,IN STOCK